id,price_doc
30474,5384858.463097375
30475,8080846.695475857
30476,5506207.2118854355
30477,6811438.123159825
30478,5024866.484879565
30479,7286609.877024784
30480,4346221.222933263
30481,4386630.730511325
30482,4487184.516798397
30483,4860551.599783544
30484,6556284.502170682
30485,5098672.026964924
30486,4299113.478810679
30487,4202558.537180585
30488,5998562.502980673
30489,6738962.576287726
30490,20595667.752252523
30491,18167079.940129466
30492,6600997.652945913
30493,13785674.563622145
30494,6652859.509158587
30495,10999781.627854748
30496,9264230.833154568
30497,8357616.536598889
30498,4494958.782017638
30499,7029115.649349473
30500,11336813.967536364
30501,7155104.952088245
30502,3177853.3677660683
30503,6639917.701360011
30504,5992749.367067997
30505,11753554.807098098
30506,3722566.8147393474
30507,4906072.228656699
30508,5328461.164749292
30509,9009058.79498103
30510,9369057.514959686
30511,6661788.48396136
30512,6978457.24219205
30513,4346221.222933263
30514,3765767.887279113
30515,9470007.962311583
30516,6098223.266113871
30517,9436736.530236224
30518,8741720.393166834
30519,4686010.698476693
30520,6577826.843311022
30521,5692737.449408622
30522,6868107.516969578
30523,6618361.275463913
30524,9569892.406055475
30525,11806930.609483017
30526,4847776.734092898
30527,5198668.75206113
30528,6433580.595390583
30529,6908376.720685953
30530,6397978.991071321
30531,13366825.741790133
30532,4655949.633621847
30533,10385748.70925395
30534,6976455.882024488
30535,9589960.653552026
30536,6129245.65461436
30537,11084360.896961857
30538,5079388.7751286
30539,13420912.206461072
30540,9882224.759637857
30541,6994360.45316533
30542,2252867.1947774114
30543,5883660.030117817
30544,7049190.501704035
30545,8850818.557255927
30546,4429864.804883591
30547,9320983.697747976
30548,4702211.668856409
30549,5197456.337790185
30550,12000284.025756635
30551,5346661.894725544
30552,1721730.1307119948
30553,7302083.7267058315
30554,11093909.466796828
30555,6351406.617386672
30556,7211125.740655162
30557,8198041.671136933
30558,9222322.985549558
30559,6719000.838890337
30560,6518406.300268901
30561,7007563.113949121
30562,12064797.512507737
30563,5285415.065935835
30564,7379610.025403926
30565,7984741.343483588
30566,8081540.524601864
30567,1910805.1041444791
30568,10291302.383542698
30569,9171014.055655679
30570,6533593.515110356
30571,7181232.7456658045
30572,5025539.399646045
30573,6797298.144736751
30574,6326386.351800724
30575,7632441.727592615
30576,4851915.570553625
30577,4518008.055580378
30578,3380504.7241064124
30579,7163380.773338077
30580,4735013.167735095
30581,5611732.3736591395
30582,12299456.286693513
30583,6757875.030138887
30584,4544786.784061616
30585,3063422.6232534684
30586,9346008.601535855
30587,6595167.380407996
30588,7623825.895111167
30589,7640706.198042454
30590,13142168.376260275
30591,5770545.21770006
30592,7379768.076646305
30593,8883561.06070368
30594,10647895.039295107
30595,5942243.185627421
30596,6765217.117464137
30597,6797298.144736751
30598,9741968.006103309
30599,11500006.883283312
30600,4534058.858593613
30601,6477163.492969522
30602,1810708.368696226
30603,12715508.65696256
30604,4787739.352278573
30605,6936999.561640294
30606,14313174.371792842
30607,6736063.676935347
30608,8475956.512987169
30609,6868996.755274137
30610,3223008.750900894
30611,5429411.0675296625
30612,7045273.181715129
30613,8854559.95208056
